[0] Conv2D,4717731,4,6,12,21,18
[1] BatchNorm2D,4725637,0,0,0,0,0
[2] DepthConv,4725724,0,0,0,0,0
[3] BatchNorm2D,4726096,0,0,0,0,0
[4] Relu6,4727184,0,0,0,0,0
[5] TensorAdd,4727511,0,0,0,0,0
