879914112883172,2417061,Conv2d,52,hit
879914112911172,2417075,Conv2d,50,hit
879914113969830,46263,SGEMM (conv),48,hit
879914114169830,46264,SGEMM (itcopy),56,hit
879914114169830,46264,SGEMM (oncopy),56,hit
879914114169830,46264,SGEMM (kernel),50,hit
879914114369830,46265,SGEMM (itcopy),60,hit
879914114369830,46265,SGEMM (oncopy),54,hit
879914114369830,46265,SGEMM (kernel),46,hit
879914114849172,2418044,BatchNorm2d,52,hit
879914114873172,2418056,BatchNorm2d,48,hit
879914114877172,2418058,BatchNorm2d,48,hit
879914116221172,2418730,Conv2d,54,hit
879914116569830,46276,SGEMM (conv),50,hit
879914116569830,46276,SGEMM (itcopy),56,hit
879914116569830,46276,SGEMM (oncopy),56,hit
879914116569830,46276,SGEMM (kernel),48,hit
879914116581172,2418910,Conv2d,50,hit
879914116769830,46277,SGEMM (itcopy),56,hit
879914116769830,46277,SGEMM (oncopy),56,hit
879914116769830,46277,SGEMM (kernel),48,hit
879914116785172,2419012,Conv2d,50,hit
879914116905172,2419072,Conv2d,52,hit
879914116969830,46278,SGEMM (conv),50,hit
879914116969830,46278,SGEMM (itcopy),56,hit
879914116969830,46278,SGEMM (oncopy),54,hit
879914116969830,46278,SGEMM (kernel),52,hit
879914117105172,2419172,Conv2d,52,hit
879914117221172,2419230,Conv2d,54,hit
879914117369830,46280,SGEMM (conv),52,hit
879914117369830,46280,SGEMM (itcopy),56,hit
879914117369830,46280,SGEMM (oncopy),56,hit
879914117369830,46280,SGEMM (kernel),46,hit
879914117413172,2419326,Conv2d,52,hit
879914117529172,2419384,Conv2d,52,hit
879914117569830,46281,SGEMM (conv),50,hit
879914117569830,46281,SGEMM (itcopy),56,hit
879914117569830,46281,SGEMM (oncopy),54,hit
879914117569830,46281,SGEMM (kernel),46,hit
879914117725172,2419482,Conv2d,50,hit
879914117769830,46282,SGEMM (itcopy),56,hit
879914117769830,46282,SGEMM (oncopy),54,hit
879914117841172,2419540,Conv2d,50,hit
879914117969830,46283,SGEMM (conv),50,hit
879914117969830,46283,SGEMM (itcopy),56,hit
879914117969830,46283,SGEMM (oncopy),56,hit
879914117969830,46283,SGEMM (kernel),46,hit
879914118033172,2419636,Conv2d,52,hit
879914118149172,2419694,Conv2d,50,hit
879914118169830,46284,SGEMM (conv),50,hit
879914118169830,46284,SGEMM (itcopy),56,hit
879914118169830,46284,SGEMM (oncopy),54,hit
879914118169830,46284,SGEMM (kernel),48,hit
879914118345172,2419792,Conv2d,54,hit
879914118369830,46285,SGEMM (oncopy),54,hit
879914118369830,46285,SGEMM (kernel),48,hit
879914118461172,2419850,Conv2d,52,hit
879914118569830,46286,SGEMM (conv),50,hit
879914118569830,46286,SGEMM (itcopy),58,hit
879914118569830,46286,SGEMM (oncopy),56,hit
879914118569830,46286,SGEMM (kernel),48,hit
879914118649172,2419944,Conv2d,52,hit
879914118819172,2420029,Conv2d,50,hit
879914118969830,46288,SGEMM (conv),58,hit
879914118969830,46288,SGEMM (itcopy),66,hit
879914118969830,46288,SGEMM (oncopy),64,hit
879914118969830,46288,SGEMM (kernel),56,hit
879914119019172,2420129,Conv2d,50,hit
879914119139172,2420189,Conv2d,52,hit
879914119169830,46289,SGEMM (conv),50,hit
879914119169830,46289,SGEMM (itcopy),54,hit
879914119169830,46289,SGEMM (oncopy),54,hit
879914119169830,46289,SGEMM (kernel),46,hit
879914119323172,2420281,Conv2d,50,hit
879914119369830,46290,SGEMM (kernel),46,hit
879914119569830,46291,SGEMM (conv),52,hit
879914119569830,46291,SGEMM (itcopy),60,hit
879914119569830,46291,SGEMM (oncopy),56,hit
879914119569830,46291,SGEMM (kernel),48,hit
879914119867172,2420553,BatchNorm2d,50,hit
879914120483172,2420861,ReLU6 (inplace),58,hit
879914120891172,2421065,add,66,hit
